,location,BHK,total_sqft,bath,price,encoded_loc
4264,others,3,1519.0,3.0,67.23,230
4265,Thanisandra,3,1200.0,2.0,65.0,209
4266,Bhoganhalli,3,1760.0,3.0,127.0,43
4267,Budigere,3,1820.0,3.0,85.5,52
4268,Kalena Agrahara,3,1565.0,3.0,78.0,121
4269,Begur Road,2,1334.0,2.0,42.69,39
4270,Sarakki Nagar,2,924.0,2.0,76.23,192
4271,Jigani,2,914.0,2.0,49.0,113
4272,Kengeri,1,500.0,1.0,17.0,135
4273,Yelahanka,3,2145.0,3.0,125.0,226
4274,Electronic City,3,1650.0,3.0,100.0,74
4275,Marathahalli,4,3940.0,4.0,220.0,161
4276,Electronic City,2,1020.0,2.0,29.45,74
4277,Basaveshwara Nagar,2,1180.0,2.0,58.0,36
4278,Bommasandra,2,1014.0,2.0,35.0,48
4279,Attibele,2,695.0,1.0,25.0,21
4280,GM Palaya,2,1140.0,2.0,48.95,78
4281,Begur Road,4,2400.0,4.0,152.0,39
4282,Attibele,2,850.0,1.0,25.0,21
4283,Banashankari,2,1200.0,2.0,60.0,26
4284,others,4,3160.0,4.0,206.0,230
4285,Hoodi,3,1769.0,3.0,96.87,97
4286,Mallasandra,2,905.0,2.0,40.0,158
4287,Kothanur,1,627.0,1.0,30.0,146
4288,Marathahalli,3,1435.0,3.0,73.0,161
4289,Kodihalli,3,1620.0,3.0,130.0,141
4290,Whitefield,3,1862.0,3.0,125.0,224
4291,Kaikondrahalli,2,674.0,1.0,19.9,120
4292,Marathahalli,2,1220.0,2.0,59.0,161
4293,Electronic City,2,1025.0,2.0,49.0,74
4294,Thanisandra,3,1430.0,2.0,54.5,209
4295,Panathur,2,1235.0,2.0,65.0,180
4296,Kanakpura Road,3,1498.0,3.0,95.0,127
4297,Electronic City,2,1000.0,2.0,29.7,74
4298,others,2,922.0,2.0,70.0,230
4299,AECS Layout,2,1123.0,2.0,64.0,9
4300,Raja Rajeshwari Nagar,2,1235.0,2.0,75.0,184
4301,Kogilu,2,1250.0,2.0,55.55,142
4302,Sarjapur  Road,2,1305.0,2.0,99.0,194
4303,others,2,1200.0,1.0,65.0,230
4304,Hebbal,4,2790.0,5.0,204.0,92
4305,Old Madras Road,4,2010.0,3.0,125.0,177
4306,Electronics City Phase 1,2,995.0,2.0,42.0,76
4307,Varthur Road,2,1277.0,2.0,59.0,218
4308,7th Phase JP Nagar,2,1236.0,2.0,61.33,6
4309,Akshaya Nagar,2,1265.0,2.0,67.0,11
4310,Kanakpura Road,1,525.0,2.0,27.0,127
4311,Gubbalala,5,2570.0,4.0,141.0,84
4312,others,3,1442.0,3.0,56.24,230
4313,Ardendale,2,1224.0,2.0,70.0,19
4314,Bellandur,2,1205.0,2.0,59.0,40
4315,others,2,1233.0,2.0,100.0,230
4316,5th Block Hbr Layout,2,1312.0,2.0,69.0,3
4317,Electronic City,3,1449.0,3.0,90.0,74
4318,Yelenahalli,2,1090.0,2.0,54.0,228
4319,Kaggadasapura,5,2100.0,5.0,150.0,118
4320,JP Nagar,2,1200.0,2.0,78.0,109
4321,BTM 2nd Stage,2,1000.0,2.0,58.0,22
4322,Devanahalli,4,2400.0,5.0,190.0,65
4323,Thanisandra,3,1732.0,3.0,85.73,209
4324,Banashankari,2,1290.0,2.0,80.0,26
4325,others,3,1840.0,3.0,85.0,230
4326,Thanisandra,3,1917.0,4.0,100.0,209
4327,others,2,1100.0,2.0,57.0,230
4328,Kudlu,3,1455.0,2.0,60.0,147
4329,Devarachikkanahalli,3,1425.0,2.0,65.0,66
4330,Whitefield,3,1655.0,3.0,113.0,224
4331,Haralur Road,4,2805.0,5.0,160.0,90
4332,others,2,1040.0,2.0,46.79,230
4333,Akshaya Nagar,2,1126.0,2.0,55.0,11
4334,Hebbal,2,1250.0,2.0,55.55,92
4335,others,2,1200.0,2.0,53.0,230
4336,others,4,2050.0,3.0,100.0,230
4337,Whitefield,1,530.0,1.0,29.44,224
4338,Sarjapur,4,2585.5,4.0,139.5,193
4339,Kambipura,2,883.0,2.0,37.0,123
4340,Sompura,3,1275.0,3.0,59.0,203
4341,others,2,800.0,2.0,30.0,230
4342,Devanahalli,1,1200.0,1.0,95.0,65
4343,Bellandur,2,1063.0,2.0,58.0,40
4344,Balagere,1,656.0,1.0,43.0,25
4345,others,2,1125.0,2.0,36.0,230
4346,Marathahalli,2,881.0,2.0,48.06,161
4347,Bisuvanahalli,2,700.0,1.0,32.0,46
4348,others,3,1936.0,3.0,110.0,230
4349,Hosa Road,3,1680.0,3.0,101.0,101
4350,Rayasandra,2,1253.0,2.0,57.0,189
4351,Mysore Road,3,1082.0,3.0,50.0,166
4352,Electronic City,2,1065.0,2.0,30.75,74
4353,Iblur Village,3,2100.0,4.0,145.0,107
4354,Electronic City,2,1070.0,2.0,58.0,74
4355,Raja Rajeshwari Nagar,3,1280.0,3.0,57.6,184
4356,Sarjapur  Road,3,1755.0,3.0,122.0,194
4357,Electronic City,2,1210.0,2.0,54.0,74
4358,Talaghattapura,2,951.0,2.0,30.43,208
4359,Electronic City,3,1500.0,2.0,75.0,74
4360,others,3,1652.5,3.0,90.0,230
4361,Yeshwanthpur,3,1381.0,2.0,76.18,229
4362,Whitefield,2,1085.0,2.0,57.0,224
4363,Whitefield,1,905.0,1.0,50.0,224
4364,Hennur Road,3,1685.0,3.0,95.0,96
4365,Somasundara Palya,2,1200.0,2.0,75.0,202
4366,Anandapura,2,1151.0,2.0,42.9,15
4367,Brookefield,4,3532.0,3.0,170.0,51
4368,Kanakpura Road,3,1665.0,3.0,86.91,127
4369,Kengeri Satellite Town,2,800.0,2.0,40.0,136
4370,Rajiv Nagar,2,1030.0,2.0,46.5,186
4371,Hoodi,2,1257.0,2.0,71.03,97
4372,Whitefield,3,1600.0,3.0,82.0,224
4373,Choodasandra,3,1465.0,3.0,75.0,60
4374,Jakkur,3,1650.0,3.0,111.0,110
4375,Whitefield,4,1230.0,4.0,80.0,224
4376,Koramangala,2,1300.0,2.0,82.0,144
4377,KR Puram,2,1000.0,2.0,44.5,115
4378,Mahadevpura,2,1146.0,2.0,53.8,156
4379,others,3,2159.0,3.0,110.0,230
4380,Whitefield,2,1255.0,2.0,40.0,224
4381,Padmanabhanagar,2,1200.0,2.0,60.0,178
4382,Sarjapur  Road,2,1040.0,2.0,37.0,194
4383,Uttarahalli,2,1180.0,2.0,41.3,216
4384,KR Puram,2,1200.0,2.0,47.0,115
4385,Sarjapur  Road,3,1374.0,3.0,51.0,194
4386,Whitefield,1,630.5,1.0,32.15,224
4387,Jalahalli,3,2384.0,4.0,165.0,111
4388,Yelahanka,2,1200.0,2.0,54.0,226
4389,Haralur Road,3,2017.0,3.0,105.0,90
4390,others,2,700.0,2.0,43.0,230
4391,Kanakpura Road,3,1495.0,2.0,52.33,127
4392,Kothanur,2,1302.0,2.0,68.5,146
4393,Whitefield,1,905.0,1.0,52.0,224
4394,Electronics City Phase 1,3,1350.0,3.0,71.0,76
4395,Gottigere,3,1380.0,2.0,95.0,82
4396,Harlur,3,1620.0,3.0,110.0,91
4397,Chandapura,4,4800.0,4.0,250.0,55
4398,Sarjapur  Road,2,1000.0,2.0,38.5,194
4399,Thanisandra,2,1250.0,1.0,54.0,209
4400,Anekal,3,997.0,3.0,55.0,17
4401,Kothanur,3,1760.0,3.0,111.0,146
4402,Yelahanka,2,1322.0,2.0,75.0,226
4403,others,3,1365.0,3.0,99.0,230
4404,Sahakara Nagar,3,1500.0,3.0,125.0,190
4405,Kaggadasapura,3,1256.0,2.0,50.0,118
4406,Brookefield,2,941.0,2.0,48.0,51
4407,Hennur Road,2,1414.0,2.0,84.18,96
4408,Chikkalasandra,3,1270.0,2.0,55.25,59
4409,Kengeri Satellite Town,4,4100.0,3.0,300.0,136
4410,others,6,1800.0,3.0,105.0,230
4411,Kanakpura Road,1,712.0,1.0,38.44,127
4412,Hebbal,2,1200.0,2.0,49.0,92
4413,Kengeri Satellite Town,1,654.0,1.0,22.0,136
4414,others,2,708.0,1.0,55.0,230
4415,others,3,1680.0,3.0,135.0,230
4416,others,2,990.0,2.0,58.0,230
4417,Uttarahalli,2,1380.0,2.0,42.0,216
4418,Hebbal,2,1088.0,2.0,62.0,92
4419,Harlur,3,1414.0,3.0,77.5,91
4420,others,2,1240.0,2.0,100.0,230
4421,others,3,1810.0,3.0,118.0,230
4422,Kothanur,2,1185.0,2.0,58.0,146
4423,Whitefield,3,1200.0,3.0,57.15,224
4424,others,2,1265.0,2.0,58.0,230
4425,Sahakara Nagar,2,1100.0,2.0,55.0,190
4426,others,2,1035.0,2.0,44.0,230
4427,Sonnenahalli,1,614.5,1.0,30.715,204
4428,Hegde Nagar,2,1179.0,2.0,49.35,94
4429,Vittasandra,3,1650.0,3.0,84.0,223
4430,others,6,2800.0,4.0,100.0,230
4431,others,3,1430.0,3.0,78.65,230
4432,Marathahalli,3,1130.0,2.0,58.0,161
4433,JP Nagar,3,1850.0,2.0,110.0,109
4434,Hennur,3,1340.0,3.0,54.24,95
4435,Sarjapur  Road,4,4334.0,2.0,338.0,194
4436,others,2,600.0,2.0,30.0,230
4437,Channasandra,2,1160.0,2.0,55.0,56
4438,others,1,1200.0,2.0,45.0,230
4439,others,2,1116.0,2.0,37.6,230
4440,others,2,1090.0,2.0,45.0,230
4441,JP Nagar,2,1100.0,2.0,45.0,109
4442,Vijayanagar,3,1484.0,3.0,79.19,220
4443,Green Glen Layout,3,1630.0,3.0,68.0,83
4444,Whitefield,3,1451.0,2.0,52.43,224
4445,Kanakpura Road,2,1330.0,2.0,107.0,127
4446,Thanisandra,3,2127.0,3.0,135.0,209
4447,others,4,1260.0,4.0,65.0,230
4448,Sarjapur  Road,3,1173.0,2.0,45.75,194
4449,Electronics City Phase 1,3,1445.0,2.0,56.0,76
4450,Thanisandra,3,2336.5,3.0,115.89,209
4451,JP Nagar,2,1197.0,2.0,47.88,109
4452,Sarjapur  Road,5,3930.0,7.0,329.0,194
4453,Kanakpura Road,3,1450.0,3.0,62.4,127
4454,Whitefield,2,1187.0,2.0,37.85,224
4455,Channasandra,2,1050.0,2.0,41.0,56
4456,Panathur,3,1370.0,2.0,54.8,180
4457,Yelahanka,2,1036.0,2.0,39.37,226
4458,JP Nagar,3,1275.0,3.0,41.2,109
4459,Old Madras Road,4,2010.0,3.0,115.0,177
4460,Thanisandra,2,1265.0,2.0,46.6,209
4461,Anandapura,3,1576.0,3.0,58.0,15
4462,Dodda Nekkundi,2,1148.0,2.0,56.0,67
4463,others,2,1000.0,2.0,36.0,230
4464,Kudlu,3,1293.0,2.0,85.0,147
4465,Munnekollal,2,1210.0,2.0,75.0,164
4466,HSR Layout,2,1126.0,2.0,69.0,89
4467,Vidyaranyapura,3,1440.0,2.0,70.0,219
4468,Ramamurthy Nagar,3,1300.0,2.0,52.0,188
4469,Thanisandra,2,1276.0,2.0,75.0,209
4470,Whitefield,2,1216.0,2.0,83.0,224
4471,Sompura,2,1126.0,2.0,39.0,203
4472,Raja Rajeshwari Nagar,2,1162.0,2.0,65.0,184
4473,Whitefield,2,1301.0,2.0,65.0,224
4474,Devanahalli,1,658.0,1.0,34.0,65
4475,1st Phase JP Nagar,1,1576.0,1.0,63.0,1
4476,Chandapura,3,1208.51,3.0,42.0,55
4477,Raja Rajeshwari Nagar,2,1133.0,2.0,38.41,184
4478,others,3,1760.0,2.0,116.0,230
4479,others,2,1145.0,2.0,57.0,230
4480,Bannerghatta Road,2,1302.5,2.0,67.73,34
4481,others,4,3317.5,5.0,268.5,230
4482,Dasarahalli,2,1300.0,2.0,50.0,64
4483,Jigani,4,2420.0,4.0,190.0,113
4484,Thubarahalli,2,1216.0,2.0,80.0,211
4485,Tumkur Road,3,1459.0,2.0,110.0,214
4486,Jakkur,3,1622.0,2.0,80.0,110
4487,Kanakpura Road,3,1843.0,3.0,85.0,127
4488,Malleshpalya,3,1430.0,2.0,69.5,159
4489,Begur Road,3,1565.0,2.0,57.91,39
4490,others,2,1410.0,2.0,75.0,230
4491,Kengeri Satellite Town,2,1060.0,2.0,42.0,136
4492,Sarjapur  Road,2,1120.0,2.0,50.0,194
4493,Hosa Road,2,880.0,2.0,50.0,101
4494,Dodda Nekkundi,3,1435.0,3.0,57.2,67
4495,Doddakallasandra,3,1425.0,2.0,56.99,69
4496,Arekere,2,900.0,2.0,50.0,20
4497,others,5,2400.0,5.0,93.0,230
4498,Electronic City,4,2435.0,4.0,119.0,74
4499,Iblur Village,3,1920.0,3.0,150.0,107
4500,Nagavarapalya,1,705.0,1.0,55.0,172
4501,others,3,1200.0,2.0,75.6,230
4502,Mahadevpura,2,1532.0,2.0,62.0,156
4503,Rajiv Nagar,2,1330.0,2.0,93.0,186
4504,Sarjapur  Road,3,1530.0,2.0,60.0,194
4505,Kasavanhalli,2,1105.0,2.0,42.0,130
4506,Harlur,3,1630.0,3.0,95.1,91
4507,Brookefield,3,1595.0,2.0,75.0,51
4508,7th Phase JP Nagar,2,1000.0,2.0,53.0,6
4509,Uttarahalli,3,1737.0,2.0,95.0,216
4510,others,4,2100.0,4.0,150.0,230
4511,Mysore Road,2,883.0,2.0,50.0,166
4512,BTM Layout,3,1776.0,2.0,75.0,23
4513,Whitefield,3,1330.0,2.0,55.0,224
4514,Thanisandra,4,2259.0,5.0,135.0,209
4515,Gubbalala,2,1008.0,2.0,32.25,84
4516,others,2,1200.0,2.0,52.5,230
4517,Yelahanka,2,1405.0,2.0,50.58,226
4518,Yelahanka,1,602.0,1.0,26.0,226
4519,JP Nagar,3,1500.0,2.0,82.0,109
4520,others,3,1539.0,3.0,60.0,230
4521,Judicial Layout,3,1100.0,2.0,53.0,114
4522,Raja Rajeshwari Nagar,2,1151.0,2.0,49.0,184
4523,others,2,920.0,2.0,46.0,230
4524,Kathriguppe,3,1350.0,3.0,78.3,132
4525,Bannerghatta Road,2,1200.0,2.0,65.0,34
4526,Thanisandra,2,1265.0,2.0,78.0,209
4527,Sarjapur  Road,3,1700.0,3.0,93.5,194
4528,others,4,1550.0,4.0,120.0,230
4529,R.T. Nagar,3,1560.0,3.0,125.0,182
4530,Sarjapur  Road,3,1403.0,3.0,56.0,194
4531,Tumkur Road,3,1416.0,3.0,94.0,214
4532,Kanakpura Road,2,1628.0,2.0,68.0,127
4533,7th Phase JP Nagar,3,1680.0,3.0,125.0,6
4534,Doddathoguru,3,1595.0,3.0,62.0,70
4535,Kanakpura Road,3,1507.0,2.0,95.0,127
4536,Hennur Road,3,1949.0,3.0,133.0,96
4537,others,2,905.0,2.0,50.0,230
4538,Kaikondrahalli,3,1605.0,3.0,105.0,120
4539,Bommanahalli,2,1290.0,2.0,73.0,47
4540,Yelahanka,2,1100.0,2.0,60.0,226
4541,Vishveshwarya Layout,6,2100.0,6.0,92.0,221
4542,Electronics City Phase 1,2,995.0,2.0,49.8,76
4543,Gottigere,3,1425.0,2.0,47.0,82
4544,others,3,1455.0,2.0,55.0,230
4545,others,1,550.0,1.0,23.0,230
4546,Vishveshwarya Layout,4,7000.0,4.0,210.0,221
4547,others,5,4000.0,3.0,130.0,230
4548,others,2,1060.0,2.0,53.0,230
4549,others,3,1080.0,2.0,75.0,230
4550,HBR Layout,3,1783.0,3.0,125.0,87
4551,Haralur Road,3,1520.0,2.0,90.0,90
4552,Sarjapur  Road,2,1060.0,2.0,55.0,194
4553,Raja Rajeshwari Nagar,2,1267.0,2.0,54.35,184
4554,Whitefield,2,1155.0,2.0,55.0,224
4555,Karuna Nagar,3,2500.0,3.0,180.0,129
4556,Bannerghatta Road,2,1240.0,2.0,65.0,34
4557,others,3,1570.0,3.0,78.0,230
4558,NGR Layout,2,1019.0,2.0,45.9,167
4559,Whitefield,2,1355.0,3.0,76.0,224
4560,others,3,1537.0,3.0,110.0,230
4561,Whitefield,4,4075.0,5.0,226.0,224
4562,Raja Rajeshwari Nagar,3,1550.0,3.0,52.45,184
4563,Raja Rajeshwari Nagar,2,1100.0,2.0,50.0,184
4564,9th Phase JP Nagar,2,1466.0,2.0,71.0,8
4565,Rachenahalli,3,1550.0,3.0,72.5,183
4566,Akshaya Nagar,3,2300.0,4.0,102.0,11
4567,Kengeri,1,540.0,1.0,22.5,135
4568,others,2,1020.0,2.0,48.0,230
4569,Hebbal,3,1987.0,4.0,165.0,92
4570,Hoodi,2,1305.0,2.0,75.0,97
4571,Sarjapur,4,2100.0,3.0,125.0,193
4572,Electronic City,2,1125.0,2.0,32.5,74
4573,Horamavu Banaswadi,2,1225.0,2.0,49.5,99
4574,Hennur,2,1255.0,2.0,55.5,95
4575,others,2,1191.0,2.0,90.0,230
4576,Electronic City,2,1165.0,2.0,33.64,74
4577,others,2,865.0,2.0,35.11,230
4578,Nagarbhavi,3,1850.0,2.0,88.0,169
4579,Yelahanka,3,1614.0,2.0,100.0,226
4580,Magadi Road,2,600.0,1.0,22.0,155
4581,Thigalarapalya,3,2072.0,4.0,155.0,210
4582,Electronic City,2,919.0,2.0,34.0,74
4583,others,4,2100.0,4.0,90.0,230
4584,others,2,1000.0,2.0,42.0,230
4585,Lingadheeranahalli,4,2245.0,4.0,154.0,154
4586,Ambedkar Nagar,3,1852.0,3.0,130.0,13
4587,others,2,1225.0,2.0,47.0,230
4588,Panathur,3,1597.0,3.0,67.12,180
4589,Jakkur,3,2423.0,4.0,160.0,110
4590,Marathahalli,2,1152.0,2.0,90.0,161
4591,Harlur,3,1762.0,3.0,133.0,91
4592,Kammasandra,3,1400.0,3.0,92.0,125
4593,Yelahanka,3,1890.0,3.0,108.0,226
4594,Varthur Road,3,1247.0,2.0,58.0,218
4595,Bellandur,2,1201.0,2.0,59.99,40
4596,others,2,830.0,2.0,40.0,230
4597,Bommanahalli,2,1100.0,1.0,55.0,47
4598,9th Phase JP Nagar,3,1890.0,2.0,93.0,8
4599,others,3,1685.0,3.0,60.0,230
4600,Battarahalli,2,1165.0,2.0,43.0,37
4601,others,2,827.0,2.0,45.0,230
4602,Electronics City Phase 1,1,635.0,1.0,26.0,76
4603,others,2,1050.0,2.0,50.0,230
4604,Kanakapura,3,1500.0,3.0,125.0,126
4605,Yelenahalli,3,1500.0,2.0,57.0,228
4606,Raja Rajeshwari Nagar,3,1751.0,3.0,72.0,184
4607,Bommasandra,2,1020.0,2.0,40.89,48
4608,Thanisandra,2,1148.0,2.0,43.5,209
4609,others,2,1060.0,2.0,49.27,230
4610,Haralur Road,2,1300.0,2.0,60.0,90
4611,Hormavu,4,3000.0,4.0,100.0,100
4612,Bellandur,2,1325.0,2.0,65.0,40
4613,others,2,1261.0,2.0,61.0,230
4614,others,2,1100.0,2.0,46.0,230
4615,Ramamurthy Nagar,2,700.0,2.0,33.0,188
4616,7th Phase JP Nagar,3,1675.0,2.0,135.0,6
4617,others,4,3400.0,4.0,190.0,230
4618,others,2,1180.0,2.0,56.0,230
4619,Uttarahalli,2,1160.0,2.0,45.0,216
4620,Kasavanhalli,4,1863.0,3.0,105.0,130
4621,Sahakara Nagar,3,1914.0,3.0,149.0,190
4622,BTM Layout,3,1458.0,3.0,79.0,23
4623,Babusapalaya,2,1105.0,2.0,40.0,24
4624,Hulimavu,3,3035.0,5.0,220.0,105
4625,Akshaya Nagar,3,1662.0,3.0,90.0,11
4626,Yelahanka,3,1556.0,3.0,86.0,226
4627,Jigani,2,918.0,2.0,50.0,113
4628,Sarjapur  Road,3,1455.0,2.0,98.0,194
4629,others,2,1205.0,2.0,70.0,230
4630,others,2,1194.0,2.0,65.0,230
4631,Laggere,2,1200.0,2.0,75.0,152
4632,Bannerghatta Road,3,1100.0,2.0,52.0,34
4633,Sarjapur  Road,3,1405.0,3.0,48.87,194
4634,Subramanyapura,2,929.0,2.0,56.0,205
4635,8th Phase JP Nagar,4,2100.0,4.0,92.0,7
4636,Channasandra,2,1065.0,2.0,40.47,56
4637,Bannerghatta Road,3,1532.5,3.0,84.29,34
4638,Hormavu,2,1093.0,2.0,32.78,100
4639,Anandapura,2,1250.0,2.0,45.0,15
4640,Marathahalli,3,1680.0,3.0,105.0,161
4641,Nagarbhavi,2,1146.0,2.0,50.0,169
4642,others,2,1250.0,2.0,58.0,230
4643,Ramagondanahalli,3,1451.0,3.0,60.44,187
4644,others,3,1424.0,2.0,55.0,230
4645,Gottigere,3,1435.0,2.0,62.0,82
4646,Devanahalli,1,658.0,1.0,26.91,65
4647,Bommanahalli,3,1300.0,3.0,45.0,47
4648,Whitefield,2,1242.0,2.0,65.0,224
4649,Marathahalli,3,1910.0,3.0,119.0,161
4650,Yelahanka,3,1610.0,4.0,85.0,226
4651,Hulimavu,2,1127.0,2.0,65.0,105
4652,Yelahanka,3,1075.0,2.0,42.0,226
4653,Mysore Road,2,1155.0,2.0,51.0,166
4654,others,3,1250.0,3.0,55.0,230
4655,others,3,2200.0,4.0,160.0,230
4656,Billekahalli,3,2400.0,3.0,150.0,44
4657,Chandapura,2,876.0,2.0,29.5,55
4658,Nagarbhavi,3,1850.0,2.0,89.0,169
4659,Kadugodi,2,1314.0,2.0,83.0,117
4660,Rachenahalli,1,690.0,1.0,39.8,183
4661,Electronic City Phase II,4,3550.0,2.0,167.5,75
4662,others,2,1230.0,2.0,55.0,230
4663,Bommasandra,2,920.0,2.0,37.2,48
4664,Sarjapur  Road,3,1850.0,3.0,140.0,194
4665,Electronic City,2,1073.0,2.0,60.0,74
4666,others,3,1540.0,3.0,76.0,230
4667,Kanakpura Road,3,1550.0,3.0,63.5,127
4668,Kalyan nagar,2,1198.0,2.0,65.0,122
4669,HBR Layout,3,1656.0,3.0,90.0,87
4670,others,3,1900.0,3.0,155.0,230
4671,Ramagondanahalli,3,1910.0,3.0,142.0,187
4672,Mysore Road,2,1003.0,2.0,43.0,166
4673,others,2,1576.0,2.0,48.0,230
4674,Whitefield,3,1495.0,2.0,67.0,224
4675,Thanisandra,3,2172.0,3.0,76.02,209
4676,others,2,1200.0,1.0,95.0,230
4677,Whitefield,3,1548.0,3.0,65.0,224
4678,Whitefield,4,2856.0,5.0,154.5,224
4679,Hosur Road,3,1689.0,3.0,103.0,104
4680,Electronic City Phase II,2,1031.0,2.0,53.0,75
4681,others,2,1060.0,2.0,37.0,230
4682,others,2,1100.0,2.0,61.0,230
4683,Hennur Road,3,1250.0,2.0,77.88,96
4684,Seegehalli,3,1420.0,2.0,46.0,198
4685,others,3,1942.0,3.0,155.0,230
4686,Haralur Road,3,1985.0,3.0,130.0,90
4687,Sarjapur  Road,1,950.0,1.0,39.9,194
4688,others,3,1200.0,4.0,80.0,230
4689,Green Glen Layout,3,1752.0,3.0,105.0,83
4690,Old Madras Road,3,1480.0,2.0,84.0,177
4691,Sarjapur  Road,3,1826.0,3.0,130.0,194
4692,8th Phase JP Nagar,2,1035.0,2.0,39.33,7
4693,Sarjapur  Road,4,2600.0,4.0,98.0,194
4694,Kasavanhalli,3,1667.0,3.0,92.0,130
4695,Thanisandra,2,934.0,2.0,55.0,209
4696,JP Nagar,3,1576.0,3.0,69.34,109
4697,Mahadevpura,3,1620.0,2.0,76.0,156
4698,Electronic City,2,1070.0,2.0,47.0,74
4699,Hosur Road,5,3600.0,5.0,180.0,104
4700,Uttarahalli,3,1280.0,2.0,60.0,216
4701,others,2,1400.0,2.0,60.0,230
4702,others,2,1330.0,2.0,64.0,230
4703,Electronic City Phase II,3,1611.0,2.0,48.33,75
4704,Whitefield,3,1405.0,3.0,58.0,224
4705,others,3,1515.0,3.0,90.0,230
4706,Thigalarapalya,3,1830.0,4.0,150.0,210
4707,Kaggadasapura,3,1710.0,3.0,60.0,118
4708,BTM Layout,2,935.0,2.0,51.5,23
4709,Jakkur,3,2197.0,3.0,136.0,110
4710,Yeshwanthpur,3,1678.0,3.0,92.13,229
4711,Brookefield,3,1410.0,2.0,80.0,51
4712,Jakkur,2,1125.0,2.0,65.0,110
4713,Magadi Road,3,1191.0,2.0,55.38,155
4714,Thubarahalli,2,1200.0,2.0,79.0,211
4715,CV Raman Nagar,3,1525.0,2.0,67.0,53
4716,Seegehalli,2,920.0,2.0,27.0,198
4717,Chikkabanavar,2,600.0,1.0,25.0,58
4718,Thanisandra,2,1185.0,2.0,44.0,209
4719,Electronics City Phase 1,2,1190.0,2.0,68.0,76
4720,Whitefield,4,2856.0,5.0,158.5,224
4721,Whitefield,2,1355.0,2.0,73.0,224
4722,KR Puram,2,1200.0,1.0,65.0,115
4723,Kundalahalli,4,7000.0,4.0,550.0,150
4724,Yelahanka New Town,1,500.0,2.0,24.0,227
4725,Bommasandra Industrial Area,3,1250.0,3.0,50.0,49
4726,Uttarahalli,3,1480.0,2.0,58.0,216
4727,KR Puram,3,1583.0,2.0,70.445,115
4728,others,2,1206.0,2.0,53.0,230
4729,Hosakerehalli,2,925.0,2.0,46.5,102
4730,8th Phase JP Nagar,2,909.0,2.0,40.9,7
4731,Brookefield,2,1100.0,2.0,55.0,51
4732,Raja Rajeshwari Nagar,2,1306.0,2.0,44.17,184
4733,others,4,1200.0,4.0,95.0,230
4734,Kalena Agrahara,1,610.0,1.0,39.0,121
4735,Yelahanka,3,1484.0,2.0,56.4,226
4736,Ramamurthy Nagar,2,1125.0,2.0,47.0,188
4737,Whitefield,4,2882.0,5.0,158.0,224
4738,Kundalahalli,3,2075.0,3.0,115.0,150
4739,others,2,1250.0,2.0,58.0,230
4740,Horamavu Banaswadi,2,1272.0,2.0,51.5,99
4741,others,2,625.0,2.0,24.0,230
4742,1st Phase JP Nagar,1,840.0,2.0,50.0,1
4743,Hennur Road,4,2502.0,4.0,180.0,96
4744,Rayasandra,1,583.0,1.0,26.9,189
4745,others,2,900.0,2.0,27.0,230
4746,Kanakapura,3,2200.0,3.0,121.0,126
4747,Whitefield,1,750.0,1.0,51.0,224
4748,Marathahalli,3,1600.0,3.0,58.0,161
4749,Chikkalasandra,3,1365.0,2.0,49.0,59
4750,others,3,1300.0,3.0,64.0,230
4751,others,1,1200.0,1.0,69.0,230
4752,Vishwapriya Layout,3,1250.0,3.0,38.0,222
4753,Kaggadasapura,3,1500.0,3.0,75.0,118
4754,Banashankari Stage V,3,1510.0,3.0,47.57,29
4755,7th Phase JP Nagar,2,1187.0,2.0,59.0,6
4756,Kundalahalli,2,1120.0,2.0,53.76,150
4757,Whitefield,2,1115.0,2.0,34.555,224
4758,others,3,1717.0,3.0,99.0,230
4759,others,3,2099.0,3.0,95.0,230
4760,Kasturi Nagar,2,1100.0,2.0,58.0,131
4761,others,1,1200.0,1.0,48.0,230
4762,Bannerghatta Road,3,1465.0,2.0,45.87,34
4763,Kothanur,1,1500.0,1.0,75.0,146
4764,Haralur Road,3,1255.0,2.0,90.0,90
4765,5th Phase JP Nagar,2,1220.0,2.0,88.0,4
4766,Electronic City Phase II,2,1065.0,2.0,30.88,75
4767,Sultan Palaya,3,1765.0,3.0,80.0,206
4768,Bellandur,2,1281.0,2.0,87.0,40
4769,Kaggadasapura,2,1215.0,2.0,43.0,118
4770,Ananth Nagar,4,1200.0,3.0,87.0,16
4771,Mysore Road,2,1237.0,2.0,73.0,166
4772,Lakshminarayana Pura,2,1300.0,2.0,70.0,153
4773,Whitefield,2,1105.0,2.0,39.99,224
4774,Hebbal Kempapura,4,3900.0,5.0,310.0,93
4775,Banashankari,2,1186.0,2.0,65.0,26
4776,Kengeri,2,750.0,2.0,35.5,135
4777,others,3,1430.0,2.0,78.65,230
4778,Thanisandra,2,1056.0,2.0,68.0,209
4779,others,3,2108.0,3.0,85.0,230
4780,Banashankari,3,1650.0,3.0,101.0,26
4781,Electronic City Phase II,3,1220.0,3.0,36.6,75
4782,Rayasandra,2,1198.0,2.0,54.0,189
4783,others,2,1190.0,2.0,70.0,230
4784,others,2,900.0,2.0,41.0,230
4785,others,4,2690.0,4.0,185.0,230
4786,Kanakapura,2,1340.0,2.0,65.0,126
